date,Closed
0,144.19000244140625
1,140.72999572753906
2,139.94000244140625
3,137.24000549316406
4,136.3699951171875
5,138.42999267578125
6,137.41000366210938
7,139.69000244140625
8,140.41000366210938
9,141.57000732421875
10,139.5500030517578
11,139.67999267578125
12,139.10000610351562
13,138.24000549316406
14,135.6699981689453
15,137.1199951171875
16,138.1199951171875
17,136.27999877929688
18,134.64999389648438
19,137.07000732421875
20,139.02999877929688
21,137.72999572753906
22,139.5399932861328
23,139.36000061035156
24,137.3800048828125
25,139.13999938964844
26,139.44000244140625
27,141.07000732421875
28,138.52000427246094
29,137.38999938964844
30,136.3300018310547
31,137.32000732421875
32,137.52000427246094
33,136.1199951171875
34,136.0800018310547
35,137.52000427246094
36,139.10000610351562
37,140.0500030517578
38,137.6300048828125
39,136.0399932861328
40,137.86000061035156
41,138.1199951171875
42,135.55999755859375
43,135.74000549316406
44,135.4499969482422
45,133.38999938964844
46,137.77999877929688
47,138.7899932861328
48,137.25999450683594
49,138.41000366210938
50,136.1300048828125
51,133.67999267578125
52,133.97999572753906
53,138.60000610351562
54,135.7899932861328
55,137.7100067138672
56,138.88999938964844
57,135.27999877929688
58,134.69000244140625
59,132.2100067138672
60,136.89999389648438
61,138.05999755859375
62,136.27000427246094
63,140.35000610351562
64,141.02999877929688
65,141.33999633789062
66,140.19000244140625
67,140.72000122070312
68,139.2899932861328
69,138.42999267578125
70,136.6199951171875
71,136.4199981689453
72,136.27000427246094
73,137.0800018310547
74,138.89999389648438
75,138.89999389648438
76,138.39999389648438
77,137.85000610351562
78,136.4600067138672
79,136.9600067138672
80,137.05999755859375
81,137.4600067138672
82,136.5800018310547
83,135.67999267578125
84,133.9600067138672
85,134.14999389648438
86,133.92999267578125
87,133.42999267578125
88,137.77999877929688
89,136.97000122070312
90,136.9499969482422
91,135.69000244140625
92,135.16000366210938
93,132.85000610351562
94,132.4499969482422
95,132.32000732421875
96,131.49000549316406
97,132.10000610351562
98,132.60000610351562
99,131.39999389648438
100,127.81999969482422
101,125.83000183105469
102,123.16000366210938
103,119.83999633789062
104,123.68000030517578
105,125.7300033569336
106,124.94000244140625
107,126.16000366210938
108,126.23999786376953
109,126.18000030517578
110,127.66999816894531
111,126.9000015258789
112,126.22000122070312
113,128.07000732421875
114,128.92999267578125
115,126.0199966430664
116,124.7300033569336
117,123.3499984741211
118,127.12999725341797
119,125.5
120,125.51000213623047
121,125.5199966430664
122,128.14999389648438
123,128.89999389648438
124,126.20999908447266
125,127.87999725341797
126,130.60000610351562
127,129.77000427246094
128,129.88999938964844
129,129.14999389648438
130,125.01000213623047
131,125.44000244140625
132,123.76000213623047
133,123.37000274658203
134,121.7699966430664
135,120.7699966430664
136,121.05000305175781
137,120.94999694824219
138,120.33000183105469
139,120.19000244140625
140,119.27999877929688
141,119.93000030517578
142,119.88999938964844
143,119.36000061035156
144,119.97000122070312
145,119.19000244140625
146,119.0199966430664
147,117.94000244140625
148,116.93000030517578
149,116.7699966430664
150,117.91000366210938
151,117.66000366210938
152,117.05000305175781
153,120.22000122070312
154,117.5199966430664
155,117.6500015258789
156,117.56999969482422
157,115.91000366210938
158,114.58999633789062
159,114.5
160,113.62000274658203
161,112.83000183105469
162,110.51000213623047
163,110.38999938964844
164,111.75
165,111.69999694824219
166,112.26000213623047
167,112.52999877929688
168,112.02999877929688
169,112.16999816894531
170,112.36000061035156
171,111.58999633789062
172,110.97000122070312
173,109.41000366210938
174,107.1500015258789
175,108.16999816894531
176,108.22000122070312
177,106.9000015258789
178,106.80999755859375
179,106.88999938964844
180,105.25
181,105.66999816894531
182,105.2699966430664
183,106.02999877929688
184,107.22000122070312
185,105.73999786376953
186,102.77999877929688
187,104.43000030517578
188,106.37999725341797
189,102.94000244140625
190,105.08000183105469
191,107.16999816894531
192,106.19999694824219
193,106.70999908447266
194,105.68000030517578
195,107.70999908447266
196,106.12000274658203
197,105.37999725341797
198,105.01000213623047
199,102.05000305175781
200,102.80000305175781
201,103.5999984741211
202,104.2699966430664
203,102.80000305175781
204,102.05999755859375
205,101.93000030517578
206,97.4000015258789
207,101.12000274658203
208,101.56999969482422
209,100.38999938964844
210,101.18000030517578
211,100.55999755859375
212,94.12999725341797
213,98.2300033569336
214,101.51000213623047
215,103.69000244140625
216,103.97000122070312
217,102.88999938964844
218,106.02999877929688
219,109.44999694824219
220,109.08000183105469
221,108.58999633789062
222,107.58999633789062
223,104.81999969482422
224,109.19000244140625
225,108.5199966430664
226,112.08999633789062
227,110.88999938964844
228,110.19000244140625
229,111.12000274658203
230,107.13999938964844
231,106.47000122070312
232,103.06999969482422
233,103.11000061035156
234,101.70999908447266
235,104.62000274658203
236,108.29000091552734
237,107.27999877929688
238,104.97000122070312
239,106.94000244140625
240,106.87000274658203
241,109.56999969482422
242,111.75
243,111.95999908447266
244,107.72000122070312
245,107.51000213623047
246,106.16000366210938
247,105.91999816894531
248,106.80999755859375
249,103.7300033569336
250,103.8499984741211
251,106.95999908447266
252,108.30000305175781
253,102.31999969482422
254,108.0999984741211
255,109.62999725341797
256,108.66000366210938
257,108.5
258,110.70999908447266
259,111.0
260,107.5999984741211
261,109.56999969482422
262,105.91000366210938
263,106.16000366210938
264,112.26000213623047
265,110.8499984741211
266,112.12999725341797
267,112.79000091552734
268,115.16999816894531
269,115.1500015258789
270,115.61000061035156
271,114.37000274658203
272,114.41000366210938
273,113.9800033569336
274,114.44999694824219
275,114.66999816894531
276,114.26000213623047
277,113.56999969482422
278,111.69999694824219
279,113.20999908447266
280,112.13999938964844
281,113.37000274658203
282,112.91000366210938
283,111.70999908447266
284,111.23999786376953
285,109.37999725341797
286,108.20999908447266
287,108.73999786376953
288,108.48999786376953
289,111.70999908447266
290,112.33000183105469
291,111.94999694824219
292,112.0199966430664
293,110.26000213623047
294,109.5999984741211
295,108.4000015258789
296,107.55999755859375
297,107.05999755859375
298,105.9800033569336
299,106.87000274658203
300,107.58000183105469
301,107.63999938964844
302,107.66000366210938
303,109.55999755859375
304,108.20999908447266
305,109.0
306,109.66999816894531
307,109.48999786376953
308,108.87999725341797
309,108.12999725341797
310,108.04000091552734
311,107.56999969482422
312,106.27999877929688
313,106.08000183105469
314,105.37000274658203
315,107.68000030517578
316,109.62000274658203
317,110.83000183105469
318,107.66000366210938
319,107.97000122070312
320,106.2699966430664
321,104.4000015258789
322,105.12000274658203
323,105.94999694824219
324,104.91000366210938
325,105.43000030517578
326,104.19000244140625
327,101.9800033569336
328,102.12000274658203
329,101.8499984741211
330,101.16000366210938
331,99.76000213623047
332,99.05000305175781
333,100.01000213623047
334,98.61000061035156
335,98.62999725341797
336,97.54000091552734
337,99.08000183105469
338,98.38999938964844
339,100.41000366210938
340,101.13999938964844
341,101.87000274658203
342,100.86000061035156
343,100.86000061035156
344,100.12999725341797
345,101.41999816894531
346,100.8499984741211
347,101.30999755859375
348,101.05000305175781
349,101.62999725341797
350,100.87999725341797
351,102.48999786376953
352,102.19000244140625
353,101.66999816894531
354,100.79000091552734
355,98.83999633789062
356,98.94999694824219
357,98.01000213623047
358,98.36000061035156
359,98.30999755859375
360,98.66000366210938
361,97.5
362,97.5999984741211
363,96.36000061035156
364,96.18000030517578
365,97.1500015258789
366,97.31999969482422
367,98.02999877929688
368,97.69999694824219
369,97.91000366210938
370,96.94000244140625
371,95.80999755859375
372,96.22000122070312
373,95.16000366210938
374,94.06999969482422
375,93.51000213623047
376,95.0
377,93.5199966430664
378,95.81999969482422
379,94.26000213623047
380,92.30999755859375
381,93.12000274658203
382,95.3499984741211
383,95.0
384,96.11000061035156
385,96.44000244140625
386,96.06999969482422
387,94.16999816894531
388,93.08000183105469
389,93.58000183105469
390,91.86000061035156
391,92.87999725341797
392,90.7699966430664
393,90.2300033569336
394,92.37999725341797
395,92.33000183105469
396,89.70999908447266
397,88.5199966430664
398,91.2699966430664
399,89.38999938964844
400,89.47000122070312
401,93.77999877929688
402,87.18000030517578
403,89.79000091552734
404,92.4800033569336
405,93.12999725341797
