,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
44,"('长安', 2.2)","('成绩单', 2.0)","('汽车', 2.0)","('赔钱', 2.0)","('上汽', 2.0)","('集团', 2.0)","('利润', 2.0)",,,,,,,,,
45,"('养殖业', 2.0)","('上市', 2.0)","('公司', 2.0)","('季度', 2.0)","('利润', 2.0)","('母猪', 2.0)","('需求', 2.0)",,,,,,,,,
46,"('财经', 2.0)","('博客', 1.0)",,,,,,,,,,,,,,
47,"('股票', 2.0)","('博客', 1.0)",,,,,,,,,,,,,,
48,"('策略', 2.0)","('关注', 2.0)","('金融', 2.0)","('地产', 2.0)","('龙头', 2.0)","('股息', 2.0)","('板块', 1.0)",,,,,,,,,
49,"('圆通', 2.2)","('宣布', 2.0)","('涨价', 2.0)","('快递', 2.0)","('低价', 2.0)","('刀刃', 1.0)",,,,,,,,,,
50,"('A', 0.75)","('股', 0.6)",,,,,,,,,,,,,,
51,"('博客', 2.0)","('调整', 2.0)","('迎来', 2.0)","('连续', 1.0)","('可怕', 1.0)","('现象', 1.0)",,,,,,,,,,
52,"('上市', 2.0)","('超额', 2.0)","('认购', 2.0)","('港股', 2.0)","('IPO', 1.2)","('回暖', 1.0)",,,,,,,,,,
53,"('启用', 2.0)","('起步', 2.0)","('概念', 2.0)","('分化', 2.0)","('券商', 2.0)",,,,,,,,,,,
54,"('报收', 2.0)","('锁定', 2.0)","('全年', 2.0)","('业绩', 2.0)","('雷', 1.0)","('提防', 1.0)",,,,,,,,,,
55,"('龙头', 2.0)","('飙升', 2.0)","('机构', 2.0)",,,,,,,,,,,,,
56,"('白酒', 2.0)","('降温', 2.0)","('季报', 2.0)","('盈利', 2.0)","('增速', 2.0)","('行业', 2.0)","('两极', 2.0)","('分化', 2.0)","('加速', 1.0)",,,,,,,
57,"('上市', 2.0)","('利润', 2.0)","('不能', 2.0)",,,,,,,,,,,,,
58,"('数量', 3.04)","('季报', 2.0)","('亏损', 2.0)","('出炉', 2.0)","('巨无霸', 2.0)","('新高', 1.0)",,,,,,,,,,
59,"('板块', 2.0)","('强势', 2.0)","('龙头', 2.0)","('概念', 2.0)","('名单', 2.0)",,,,,,,,,,,
60,"('创业', 2.0)","('故事', 2.0)","('开讲', 2.0)","('恢宏', 1.0)","('壮阔', 1.0)",,,,,,,,,,,
61,"('公司', 2.0)","('季报', 2.0)","('出炉', 2.0)","('华谊', 2.0)","('兄弟', 2.0)","('光线', 2.0)","('传媒', 2.0)",,,,,,,,,
62,"('午后', 2.2)","('利好', 2.0)","('险象环生', 1.0)",,,,,,,,,,,,,
63,"('刘晓丹', 6.6)","('打破', 2.0)","('市场', 2.0)","('机制', 2.0)","('发挥', 2.0)","('作用', 1.0)",,,,,,,,,,
64,"('姚振山', 6.6)","('五评', 5.5)","('CCTV', 2.4)","('财经', 2.0)","('频道', 2.0)","('创业', 2.0)","('并购', 2.0)","('适合', 2.0)",,,,,,,,
65,"('资本', 4.39)","('引来', 2.0)","('活水', 2.0)","('城市', 2.0)","('市场', 2.0)","('互补', 2.0)","('共生', 1.0)",,,,,,,,,
66,"('十年磨一剑', 4.39)","('创业', 2.0)","('护航', 2.0)","('高新技术', 2.0)","('企业', 2.0)","('任重道远', 1.0)",,,,,,,,,,
67,"('创业', 2.0)","('投资者', 2.0)","('老奶奶', 2.0)","('回归', 2.0)","('价值', 1.0)",,,,,,,,,,,
68,"('机构', 2.0)","('资本', 2.0)","('市场', 2.0)","('改革', 2.0)","('加速', 2.0)","('推进', 2.0)","('建议', 2.0)","('关注', 2.0)","('头部', 2.0)","('券商', 1.0)",,,,,,
69,"('净利润', 2.0)","('养殖', 2.0)","('板块', 2.0)","('行情', 2.0)","('平均', 1.0)","('龙头', 1.0)",,,,,,,,,,
70,"('外债', 2.0)","('发行', 2.0)","('利率', 2.0)","('平均', 1.0)",,,,,,,,,,,,
71,"('职业', 2.0)","('年金', 2.0)","('项目', 2.0)","('启动', 2.0)","('支持', 2.0)","('政策', 2.0)","('酝酿', 1.0)",,,,,,,,,
72,"('因素', 2.0)","('推动', 2.0)","('回升', 2.0)","('半导体', 2.0)","('公司', 2.0)","('季报', 2.0)","('景气', 1.0)","('预期', 1.0)",,,,,,,,
73,"('教育', 2.0)","('企业', 2.0)","('上市', 2.0)","('融资', 2.0)","('亏损', 2.0)","('抢占', 2.0)","('密集', 1.0)","('市场', 1.0)",,,,,,,,
74,"('区块', 2.0)","('风口', 2.0)","('降温', 2.0)","('退烧', 2.0)","('连续', 1.0)",,,,,,,,,,,
75,"('今日', 2.2)","('运营', 2.0)","('启动', 2.0)","('计划', 1.0)",,,,,,,,,,,,
76,"('创业', 2.0)","('起点', 2.0)","('能否', 2.0)","('降低', 2.0)","('门槛', 2.0)",,,,,,,,,,,
77,"('行前', 2.2)","('机构', 2.0)","('嗅到', 1.0)",,,,,,,,,,,,,
78,"('上市', 2.0)","('承保', 2.0)","('投资', 2.0)","('两端', 2.0)","('结构', 2.0)","('调整', 2.0)","('迈入', 2.0)",,,,,,,,,
79,"('重组', 3.04)","('痴心', 2.0)","('牛', 1.46)",,,,,,,,,,,,,
80,"('业绩', 2.0)","('基金', 2.0)","('亮丽', 1.0)",,,,,,,,,,,,,
81,"('业内人士', 2.0)","('实现', 2.0)","('定价', 2.0)","('机制', 2.0)","('IPO', 1.2)","('创新', 1.0)",,,,,,,,,,
82,"('创业', 2.0)","('并购', 2.0)","('重组', 2.0)","('聚焦', 2.0)","('产业', 2.0)","('整合', 2.0)","('发展', 1.0)",,,,,,,,,
83,"('区块', 2.0)","('概念', 2.0)","('急变', 2.0)","('提示', 2.0)","('链', 1.58)","('蹭', 1.01)","('风险', 1.0)",,,,,,,,,
84,"('锻造', 3.0)","('创业', 2.0)","('上市', 2.0)","('公司', 2.0)","('聚集', 1.0)",,,,,,,,,,,
85,"('巨头', 2.0)","('季报', 2.0)","('海尔', 2.0)","('格力', 2.0)","('差距', 2.0)","('收入', 2.0)","('增幅', 2.0)",,,,,,,,,
86,"('证券时报', 2.4)","('头版', 2.0)","('断定', 2.0)","('白马', 2.0)",,,,,,,,,,,,
